iter	Passed	Remaining
0	37	18791
1	80	19924
2	113	18826
3	153	19022
4	192	19032
5	222	18301
6	251	17706
7	278	17155
8	310	16934
9	346	16999
10	387	17236
11	419	17073
12	459	17212
13	491	17071
14	530	17155
15	561	16973
16	614	17448
17	646	17309
18	681	17264
19	714	17147
20	750	17119
21	789	17146
22	820	17017
23	861	17077
24	909	17278
25	940	17142
26	982	17213
27	1021	17223
28	1061	17239
29	1096	17184
30	1136	17200
31	1175	17198
32	1206	17068
33	1247	17092
34	1290	17145
35	1317	16983
36	1342	16795
37	1368	16632
38	1398	16529
39	1443	16605
40	1477	16541
41	1519	16567
42	1564	16630
43	1593	16515
44	1642	16604
45	1676	16544
46	1710	16482
47	1740	16392
48	1772	16311
49	1803	16230
50	1847	16264
51	1882	16222
52	1922	16213
53	1959	16184
54	1991	16115
55	2032	16116
56	2060	16016
57	2104	16034
58	2137	15978
59	2187	16042
60	2221	15988
61	2267	16019
62	2322	16110
63	2364	16106
64	2397	16046
65	2433	16000
66	2477	16009
67	2513	15968
68	2552	15941
69	2608	16025
70	2662	16086
71	2697	16032
72	2730	15969
73	2777	15986
74	2810	15924
75	2845	15874
76	2876	15804
77	2918	15787
78	2958	15768
79	3002	15761
80	3059	15824
81	3092	15766
82	3131	15732
83	3168	15692
84	3210	15677
85	3240	15597
86	3273	15540
87	3339	15633
88	3370	15565
89	3401	15497
90	3435	15442
91	3482	15444
92	3516	15387
93	3566	15403
94	3611	15396
95	3644	15336
96	3677	15278
97	3709	15218
98	3750	15190
99	3785	15141
100	3836	15156
101	3873	15115
102	3905	15054
103	3949	15036
104	3981	14979
105	4014	14923
106	4064	14928
107	4097	14873
108	4131	14820
109	4166	14770
110	4215	14774
111	4251	14727
112	4286	14679
113	4321	14630
114	4367	14623
115	4404	14580
116	4453	14578
117	4489	14534
118	4524	14485
119	4566	14460
120	4600	14409
121	4653	14419
122	4694	14389
123	4731	14346
124	4767	14301
125	4808	14271
126	4841	14218
127	4878	14176
128	4916	14140
129	4975	14162
130	5014	14125
131	5049	14077
132	5084	14030
133	5117	13978
134	5150	13925
135	5186	13882
136	5224	13841
137	5257	13792
138	5307	13785
139	5357	13776
140	5398	13744
141	5433	13699
142	5469	13653
143	5504	13608
144	5540	13564
145	5575	13517
146	5623	13503
147	5661	13466
148	5699	13425
149	5747	13409
150	5783	13366
151	5817	13320
152	5851	13271
153	5887	13228
154	5921	13179
155	5956	13134
156	6023	13159
157	6065	13128
158	6102	13086
159	6129	13024
160	6162	12975
161	6197	12929
162	6208	12835
163	6239	12783
164	6272	12735
165	6314	12705
166	6352	12666
167	6400	12649
168	6434	12601
169	6449	12519
170	6485	12477
171	6519	12432
172	6552	12385
173	6573	12315
174	6607	12270
175	6634	12214
176	6666	12164
177	6679	12082
178	6713	12039
179	6750	12001
180	6799	11984
181	6833	11939
182	6867	11896
183	6903	11855
184	6940	11817
185	6975	11775
186	7009	11732
187	7043	11688
188	7079	11649
189	7113	11605
190	7144	11558
191	7181	11520
192	7217	11480
193	7252	11440
194	7293	11408
195	7328	11366
196	7364	11326
197	7398	11284
198	7436	11247
199	7472	11208
200	7515	11179
201	7572	11171
202	7604	11126
203	7624	11062
204	7657	11018
205	7688	10973
206	7722	10931
207	7759	10892
208	7787	10843
209	7827	10809
210	7862	10769
211	7897	10728
212	7930	10686
213	7964	10644
214	8000	10604
215	8042	10574
216	8072	10527
217	8104	10484
218	8145	10450
219	8188	10422
220	8222	10380
221	8266	10352
222	8307	10319
223	8324	10257
224	8365	10224
225	8402	10187
226	8449	10162
227	8494	10133
228	8527	10091
229	8539	10024
230	8575	9986
231	8611	9948
232	8647	9908
233	8664	9849
234	8698	9808
235	8731	9766
236	8761	9722
237	8795	9682
238	8832	9646
239	8870	9609
240	8904	9570
241	8935	9526
242	8974	9491
243	9008	9451
244	9042	9412
245	9074	9369
246	9109	9330
247	9144	9291
248	9184	9258
249	9227	9227
250	9259	9185
251	9293	9146
252	9326	9105
253	9369	9074
254	9409	9040
255	9445	9003
256	9479	8963
257	9512	8922
258	9547	8883
259	9581	8844
260	9630	8818
261	9678	8792
262	9712	8752
263	9747	8713
264	9784	8676
265	9837	8653
266	9878	8620
267	9910	8579
268	9945	8540
269	9992	8512
270	10042	8486
271	10077	8447
272	10121	8415
273	10132	8357
274	10166	8318
275	10200	8278
276	10219	8227
277	10253	8188
278	10287	8148
279	10323	8110
280	10364	8077
281	10405	8043
282	10420	7990
283	10455	7952
284	10498	7919
285	10529	7879
286	10572	7846
287	10613	7812
288	10649	7775
289	10690	7741
290	10726	7703
291	10762	7666
292	10797	7627
293	10831	7589
